Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Chicken Boneless Pepper","Chicken Boneless Pepper",,CBP,,,,,"Gomantaks Special Fry","Special Fry",400,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Jumbo Masala Fry","Crab Jumbo Masala Fry",,CJMF,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",900,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Boneless Masala","Crab Boneless Masala",,CBM,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",550,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Ghee Roast","Crab Ghee Roast",,CGRO,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",0,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Lolipop (6 Pc)","Crab Lolipop (6 Pc)",,CLP,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",450,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Bhurji","Crab Bhurji",,CBH,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",650,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Butter Garlic","Crab Butter Garlic",,CBG,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",0,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Butter Pepper Garlic","Crab Butter Pepper Garlic",,CBPG,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",0,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Masala(small)","Crab Masala(small)",,CMSM,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",380,non-veg,,5,F,,,0,,,1,0,Yes
"Crab Masala Fry(small)","Crab Masala Fry(small)",,CMFS,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",420,non-veg,,5,F,,,0,,,1,0,Yes
"Stuffed Crab Masala Fry","Stuffed Crab Masala Fry",,SCMF,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",0,non-veg,,5,F,,,0,,,1,0,Yes
Lobster,Lobster,,L,,,,,"Konkan Swad Special Crabs","Konkan Swad Special Crabs",0,non-veg,,5,F,,,0,,,1,0,Yes
"Jitada Fry","Jitada Fry",,JF,,,,,"Konkan Swad Special Fish","Konkan Swad Special Fish",350,non-veg,,5,F,,,0,,,1,0,Yes
