Item Name,Frequency,Total Revenue,Avg Price,Confidence,Issue Type
paneer fards raic,1,280.00,280.00,ESTIMATED,Other/Missing Item
egg tr s rice,1,270.00,270.00,ESTIMATED,Other/Missing Item
EGG TRIPPIER RICE,1,270.00,270.00,ESTIMATED,Other/Missing Item
paneer triple fried rice,1,270.00,270.00,ESTIMATED,Other/Missing Item
paneer fridrice,1,260.00,260.00,ESTIMATED,Other/Missing Item
egg tirper firade rice,1,260.00,260.00,ESTIMATED,Other/Missing Item
mini salad,1,259.00,259.00,ESTIMATED,Other/Missing Item
plen curd,2,245.00,122.50,ESTIMATED,Other/Missing Item
FRY NOODLAS,2,240.00,120.00,ESTIMATED,Other/Missing Item
extra vade 2 pices,1,240.00,240.00,ESTIMATED,Other/Missing Item
prawns hot garlic,1,231.25,231.25,ESTIMATED,Other/Missing Item
chees omlet,1,230.00,230.00,ESTIMATED,Other/Missing Item
RIED NOODLE,1,230.00,230.00,ESTIMATED,Other/Missing Item
Plain curd,2,229.60,114.80,ESTIMATED,Other/Missing Item
fried nodles,1,227.50,227.50,ESTIMATED,Other/Missing Item
boiled egg  1pc,1,220.00,220.00,ESTIMATED,Other/Missing Item
FRY Nodles,1,215.00,215.00,ESTIMATED,Other/Missing Item
fried noddle,1,208.33,208.33,ESTIMATED,Other/Missing Item
Chicken combination rice,1,205.00,205.00,ESTIMATED,Other/Missing Item
hapl salad,1,197.50,197.50,ESTIMATED,Other/Missing Item
paneer kolapuri,1,196.67,196.67,ESTIMATED,Other/Missing Item
crud,1,196.00,196.00,ESTIMATED,Other/Missing Item
butter bhakri,1,190.00,190.00,ESTIMATED,Other/Missing Item
extra vade 2 pice,2,187.50,93.75,ESTIMATED,Other/Missing Item
applechkicen half 4 pice,1,183.33,183.33,ESTIMATED,Other/Missing Item
chiken combinatin rice,1,183.33,183.33,ESTIMATED,Other/Missing Item
egg,1,182.50,182.50,ESTIMATED,Other/Missing Item
chiken lolipop,1,180.00,180.00,ESTIMATED,Other/Missing Item
VADE 1PC,1,175.00,175.00,ESTIMATED,Other/Missing Item
VADE 2PC,1,175.00,175.00,ESTIMATED,Other/Missing Item
vade,3,166.30,55.43,ESTIMATED,Other/Missing Item
